accession,ler_number,docket,report_date,chars,title
ML26078A025,259-2026-001-00,05000259,2026-03-19,21581,"LER 2026-001-00 for Browns Ferry Nuclear plant, Unit 1, Safety System Functional Failure due to High Pressure coolant Injection Drain valves Inoperable"
ML26071A052,316-2026-001-00,05000316,2026-03-12,13996,"LER 2026-001-00 for Donald C. Cook Nuclear Plant, Unit 2, Automatic Reactor Trip due to #21 Steam Generator Low Water Level with Steam Flow-Feed Flow Mismatch"
ML26062A865,348-2026-001-00,05000348,2026-03-03,9815,"LER 2026-001-00 for Joseph M. Farley Nuclear Plant, Unit 1, Three Pressurizer Safety Valves' Lift Pressure Outside of Technical Specifications Limits due to Setpoint Drift"
ML26057A156,369-2025-001-00,05000369,2026-02-26,20676,"LER 2025-001-00 for McGuire Nuclear Station, Unit 1, Automatic Reactor Trip and Manual Auxiliary Feedwater Actuation Due to Main Generator Lockout"
ML26055A084,373-2025-002-00,05000373,2026-02-24,11591,"LER 2025-002-00 for LaSalle County Station, Unit 1, Manual Scram Due to Degrading Containment Parameters"
ML26044A254,530-2025-001-00,05000530,2026-02-13,6037,"LER 2025-001-00 for Palo Verde, Unit 3, Unintentional Uncontrolled Vital Area Keys"
ML26119A030,259-2025-002-01,05000259,2026-04-28,19691,"LER 2025-002-01 for Browns Ferry Nuclear Plant, Units 1 and 2, Unit 1/2 480V Load Shed Logic Division 1/11 Inoperable Longer than Allowed by Technical Specifications"
ML26064A231,530-2025-002-00,05000530,2026-03-05,13823,"LER 2025-002-00 for Palo Verde Nuclear Generating Station (PVNGS), Unit 3, Violation of Technical Specification Limiting Condition of Operation 3.6.3"
ML26096A453,499-2025-002-01,05000499,2026-04-06,15889,"LER 2025-002-01 for South Texas Project, Unit 2, Supplement to Automatic Reactor Trip Due to Main Transformer Lockout"
ML26119A537,395-2025-005-01,05000395,2026-04-29,12633,"LER 2025-005-01 for Virgil C. Summer Nuclear Station, Unit 1 (VCSNS), Condition Prohibited by Technical Specifications"
ML26013A295,270-2026-001-00,05000270,2026-01-13,15617,"LER 2026-001-00 for Oconee Nuclear Station Unit 2, Loss of AC Power to Unit 2 Main Feeder Buses After Opening Potential Transformer Drawer Resulting in Actuation of Keowee Hydroelectric Units"
ML26015A092,461-2025-004-00,05000461,2026-01-13,9467,"LER 2025-004-00 for Clinton Power Station, Unit 1, Emergency Diesel Generator Automatic Start due to Emergency Reserve Auxiliary Transformer Trip"
ML25351A150,482-2025-003-00,05000482,2025-12-17,11669,"LER 2025-003-00 for Wolf Creek Generating Station, Loss of Voltage on ESF Bus Results in Automatic Actuation of Emergency Diesel Generator"
ML25342A007,280-2025-002-00,05000280,2025-12-08,8028,"LER 2025-002-00 for Surry Power Station, Unit 1, Fault on Transformer Feeder Cable Caused Automatic Start of Emergency Diesel Generator"
ML26086A018,373-2025-001-01,05000373,2026-03-27,11218,"LER 2025-001-01 for LaSalle County Station, Unit 1, Automatic Scram on Turbine Control Valves Fast Closure on Generator Lockout"
ML26127A016,445-2025-002-01,05000445,2026-05-07,20756,"LER 2025-002-01 for Comanche Peak, Pressure Transmitter Inoperable for a Duration Prohibited by TS due to Excessive Signal Drift"
ML26055A051,388-2025-001-01,05000388,2026-02-24,13694,"LER 2025-001-01 for Susquehanna Steam Electric Station (SSES), Unit 2, Arc Flash on 500 kilovolt Transmission Lines Resulted in Main Generator Trip and Automatic Reactor Scram"
ML25360A001,237-2025-002-00,05000237,2025-12-26,10752,"LER 2025-002-00 for Dresden Nuclear Power Station, Units 2 and 3, Valid Reactor Protection System Actuation While Shutdown"
ML25357A159,382-2025-004-00,05000382,2025-12-23,11029,"LER 2025-004-00 for Waterford Steam Electric Station, Unit 3, Station Air Leak in Control Room Envelope Results in a Condition That Could have Prevented Fulfilment of a Safety Function"
ML25353A533,321-2025-002-00,05000321,2025-12-19,11130,"LER 2025-002-00 for Edwin I. Hatch Nuclear Plant, Unit 1, Reactor Protection System Instrumentation for Turbine Control Valve Fast Closure Inoperable"
ML25364A102,461-2025-003-00,05000461,2025-12-16,10897,"LER 2025-003-00 for Clinton Power Station, Unit 1, Scram Turbine Hydraulic Oil Leak"
ML26057A342,338-2025-002-01,05000338,2026-02-26,11685,"LER 2025-002-01 for North Anna Power Station, Unit 1, Automatic Reactor Trip due to PRNI High Negative Rate"
ML26075C887,482-2025-002-01,05000482,2026-03-16,14705,"LER 2025-002-01 for Wolf Creek Generation Station, Loss of Both Trains of Control Room Air Conditioning causes Condition that Could Have Prevented Fulfillment of a Safety Function"
ML25351A282,482-2025-001-00,05000482,2025-12-17,16902,"LER 2025-001-00 for Wolf Creek, Improperly Breached Control Building Doors Cause a Condition Prohibited by Technical Specifications"
ML25363A104,400-2025-002-00,05000400,2025-12-29,15744,"LER 2025-002-00 for Shearon Harris Nuclear Power Plant, Unit 1, Incorrect Current Value Used During Power Range Nuclear Instrument Calibration"
ML25346A200,395-2025-004-00,05000395,2025-12-12,10632,"LER 2025-004-00 for Virgil C. Summer Nuclear Station, Unit 1 (VCSNS), Actuation of the Reactor Protection and Emergency Feedwater Systems"
ML25343A343,370-2025-002-00,05000370,2025-12-09,25560,"LER 2025-002-00 for McGuire Nuclear Station, Unit 2, Reactor Trip, Auxiliary Feedwater Actuation, and Refueling Water Storage Tank Inoperability Due to Relief Valve Leak"
ML25336A056,400-2025-001-00,05000400,2025-12-02,13200,"LER 2025-001-00 for Shearon Harris Nuclear Power Plant, Unit 1, Fuel Assembly Incorrectly Placed in Spent Fuel Pool 'B'"
ML25338A187,456-2025-002-00,05000456,2025-12-04,10600,"LER 2025-002-00 for Braidwood Station, Unit 1, Liquid Penetrant Indication in Control Rod Drive Mechanism Nozzle Seal Weld Repair due to Subsurface Weld Defects Opening from Thermal and Pressure Stresses During Operation"
ML25342A438,458-2025-007-00,05000458,2025-12-08,13193,"LER 2025-007-00 for River Bend Station, Unit 1, Division 1 Balance of Plant Isolation Results in Manual Reactor Trip"
ML26078A183,461-2025-002-01,05000461,2026-03-03,10125,"LER 2025-002-01 for Clinton Power Station, Unit 1, Automatic SCRAM on High Reactor Water Level"
ML25324A399,313-2025-001-00,05000313,2025-11-20,12714,"LER 2025-001-00 for Arkansas Nuclear One, Unit 1, Automatic Reactor Trip Due to Fault on the 'B' Main Phase Transformer"
ML26023A162,318-2025-002-01,05000318,2026-01-22,14626,"LER 2025-002-01 for Calvert Cliffs Nuclear Power Plant, Unit 2, Condition Prohibited by Technical Specifications due to condition 3.7.12.A Required Restoration Time Exceeded"
ML25328A054,445-2025-001-00,05000445,2025-11-24,20806,"LER 2025-001-00 for Comanche Peak Nuclear Power Plant (CPNPP), Manual Reactor Trip from a Loss of Both Main Feedwater Pump Due to a Failure to Reset a Signal Fault"
ML25317A674,277-2025-003-00,05000277,2025-11-13,9606,"LER 2025-003-00 for Peach Bottom Atomic Power Station (PBAPS), Units 2 and 3, Invalid Actuation Due to Transformer Trip"
ML25317A742,446-2025-003-00,05000446,2025-11-13,20547,"LER 2025-003-00 for Comanche Peak Nuclear Power Plant, Unit 2, Failure of Turbine Electrohydraulic Control System Results in Manual Trip of Unit 2 and Actuation of the Auxiliary Feedwater System"
ML25315A010,366-2025-003-00,05000366,2025-11-11,9008,"LER 2025-003-00 for Edwin I. Hatch Nuclear Plant Unit 2, Manual Reactor SCRAM Due to Trip of Both Reactor Recirculation Pumps"
ML25321A460,461-2025-001-00,05000461,2025-11-12,11944,"LER 2025-001-00 for Clinton Power Station, Unit 1, MSIV B21-F022D Limit Switch Failed Testing"
ML25307A221,414-2025-004-00,05000414,2025-11-03,16426,"LER 2025-004-00 for Catawba Nuclear Station, Unit 2, Through Wall Leak in Letdown Piping"
ML25281A104,277-2025-002-00,05000277,2025-10-08,10308,"LER 2025-002-00 for Peach Bottom Atomic Power Station (PBAPS), Units 2 and 3, Uncoordinated DC Circuits Cause Unanalyzed Condition"
ML25307A312,387-2025-002-00,05000387,2025-11-03,13028,"LER 2025-002-00 for Susquehanna Steam Electric Station, Units 1 & 2, Both Sub-Systems of the Control Room Emergency Outside Air Supply System Impacted by Concurrent, Unrelated Equipment Issues in the Control Structure Heating, Ventilation & Air ....."
ML25307A235,416-2025-005-00,05000416,2025-11-03,8681,"LER 2025-005-00 for Grand Gulf Nuclear Station, Unit 1, Loss of Secondary Containment Due to Unsecured Roof Hatch"
ML25302A454,315-2025-002-00,05000315,2025-10-29,13393,"LER 2025-002-00 for Donald C. Cook Nuclear Plant, Unit 1, Supplemental Diesel Generators (DG) Unavailable Resulting in Emergency DGs Inoperable Greater Than Allowed by TS"
ML25293A255,458-2025-006-00,05000458,2025-10-20,12515,"LER 2025-006-00, for River Bend Station, Potential Loss of Safety Function of Control Building Chillers Due to a Valve Mispositioned"
ML25281A097,277-2025-001-00,05000277,2025-10-08,9635,"LER 2025-001-00 for Peach Bottom Atomic Power Station (PBAPS), Units 2 and 3, Invalid Actuation Due to Bus Failure"
ML25293A447,458-2025-005-00,05000458,2025-10-20,12431,"LER 2025-005-00, For River Bend Station, Unit 1, Containment Unit Coolers Inoperable Due to Compensatory Measures"
ML26033A500,296-2025-002-01,05000296,2026-02-02,20432,"LER 2025-002-01 for Browns Ferry Nuclear Plant, Unit 3, Reactor Core Isolation Cooling Inoperable due to a Failed Ramp Generating Signal Converter"
ML25287A021,446-2025-002-00,05000446,2025-10-14,19866,"LER 2025-002-00 for Comanche Peak Nuclear Power Plant (CPNPP), Safety Chiller Inoperable due to Failure of Copper Refrigerant Fittings"
ML25282A052,346-2025-002-00,05000346,2025-10-09,16382,"LER 2025-002-00 for Davis-Besse Nuclear Power Station, Unit 1, Cooldown to Mode 4 Not Completed in Required Time due to Improper Procedure Routing"
ML25287A034,348-2025-001-00,05000348,2025-10-14,10058,"LER 2025-001-00 for Joseph M. Farley Nuclear Plant, Unit 1 and 2, Emergency Diesel 1C Unable to Achieve 110% of Maximum Load"
ML25282A050,346-2025-001-00,05000346,2025-10-09,15000,"LER 2025-001-00 for Davis-Besse Nuclear Power Station, Unit 1, Required Shutdown for Steam Generator Low Level Instrumentation Reference Leg Steam Leak"
ML25286A003,446-2025-001-00,05000446,2025-10-13,19904,"LER 2025-001-00 for Comanche Peak Nuclear Power Plant (CPNPP), Containment Spray Pump Declared Inoperable due to Misaligned Breaker"
ML25268A017,395-2025-002-00,05000395,2025-09-24,5284,"LER 2025-002-00 for Virgil C. Summer Nuclear Station, Unit 1 (VCSNS), Automatic Actuation of an Emergency Diesel Generator"
ML25274A076,250-2025-001-00,05000250,2025-10-01,10436,"LER 2025-001-00 for Turkey Point Nuclear Plant, Unit 3, Lightning Caused Turbine Control System Failures Resulting in Reactor Trip"
ML25275A606,280-2025-001-00,05000280,2025-10-02,10960,"LER 2025-001-00 for Surry Power Station, Failed Relay Caused Reactor Trip"
ML26029A088,259-2025-001-01,05000259,2026-01-29,21028,"LER 2025-001-01 for Browns Ferry Nuclear Plant, Unit 1, Reactor SCRAM Due to Low Reactor Water Level"
ML25323A433,317-2025-001-01,05000317,2025-11-19,14078,"LER 2025-001-01 for Calvert Cliffs Nuclear Power Plant, Unit 1, Control Room Loss of Ventilation due to Smoke Detector Failure Causing Common Supply Damper to Shut"
ML25269A165,456-2025-001-00,05000456,2025-09-26,10187,"LER 2025-001-00 for Braidwood Station, Unit 1, Over Temperature Delta Temperature due to Lightning Strike"
ML25268A050,263-2025-004-00,05000263,2025-09-25,12092,"LER 2025-004-00 for Monticello Nuclear Generating Plant, Rainwater Intrusion caused by Reactor Building Ventilation and Rise in Steam Chase Temperature"
ML25265A025,416-2025-004-00,05000416,2025-09-22,9117,"LER 2025-004-00 for Grand Gulf Nuclear Station, Unit 1 , Standby Gas Treatment System Train Inoperable which Led to a Failure to Identify Condition Prohibited by Technical Specifications"
ML25296A198,282-2025-003-00,05000282,2025-10-23,13140,"LER 2025-003-00 for Prairie Island Nuclear Generating Plant, Unit 1, Nuclear Instrumentation Over-Temperature Delta Temperature Function Inoperable Due to Defective Potentiometers"
ML25317A743,387-2025-001-01,05000387,2025-11-13,14113,"LER 2025-001-01 for Susquehanna Steam Electric Station (SSES) Unit 1, Manual Reactor Scram Following Loss of Cooling to Main Transformer"
ML25259A219,458-2025-004-00,05000458,2025-09-16,10192,"LER 2025-004-00 for River Bend Station, Unit 1, Unsecured Pressure Boundary Door resulting in Condition that could have prevented Fulfillment of a Safety Function"
ML25251A231,282-2025-001-00,05000282,2025-09-08,11901,"LER 2025-001-00 for Prairie Island Nuclear Generating Plant, Unit 1, Reactor trip and auto-start actuation of Auxiliary Feedwater due to Bus 11 undervoltage relay issues"
ML25258A159,413-2025-003-00,05000413,2025-09-15,19883,"LER 2025-003-00 for Catawba Nuclear Station, Units 1 and 2, 2B Emergency Diesel Generator Field Failed to Flash"
ML25254A011,391-2025-002-00,05000391,2025-09-11,19613,"LER 2025-002-00 for Watts Bar Nuclear Plant, Unit 2, Automatic Reactor Trip due to a Main Turbine Trip"
ML25240B635,25-2025-001-00,05200025,2025-08-28,9531,"LER 2025-001-00 for Vogtle Electric Generating Plant (VEGP), Unit 3, Condition Prohibited by Technical Specification Due to Pressurizer Safety Valves Lift Pressure Setpoint Drift"
ML25303A285,318-2025-001-01,05000318,2025-10-30,12454,"LER 2025-001-01 for Calvert Cliffs Nuclear Power Plant, Unit 2, Loss of Site Transformer U-4000-12"
ML25230A243,364-2025-004-00,05000364,2025-08-18,9816,"LER 2025-004-00 for Joseph M. Farley Nuclear Plant, Unit 2, Manual Reactor Trip due to Loss of Main Condenser Vacuum"
ML25237A236,260-2025-004-00,05000260,2025-08-25,22746,"LER 2025-004-00 for Browns Ferry Nuclear Plant, Unit 2, Main Steam Relief Valves Lift Settings Outside of Technical Specifications Required Setpoints"
ML25295A001,327-2025-001-01,05000327,2025-10-22,17933,"LER 2025-001-01 for Sequoyah Nuclear Plant, Unit 1, Manual Reactor Trip due to Reboot of the Distributed Control System and Lowering Steam Generator Levels"
ML25275A002,328-2025-002-01,05000328,2025-10-01,19001,"LER 2025-002-01 for Sequoyah Nuclear Plant, Unit 2, Manual Reactor Trip due to a Failed Closed Main Feedwater Regulating Valve"
ML25226A035,251-2025-004-00,05000251,2025-08-14,9085,"LER 2025-004-00 for Turkey Point, Unit 4, Unplanned Reactor Scram"
ML25283A066,282-2025-002-00,05000282,2025-10-10,18394,"LER 2025-002-00 for Prairie Island Nuclear Generating Plant, Units 1 and 2, 121 Control Room Chiller Inoperable Due to Purge System Failure"
ML25230A239,364-2025-003-00,05000364,2025-08-18,8867,"LER 2025-003-00 for Joseph M. Farley Nuclear Plant, Unit 2, Automatic Reactor Trip Due to Low Steam Generator Level"
ML25226A231,458-2025-003-00,05000458,2025-08-14,9649,"LER 2025-003-00 for River Bend Station, Unit 1, Turbine Control Valve Closure Results in Loss of Safety Function"
ML25226A116,341-2025-001-00,05000341,2025-08-14,13156,"LER 2025-001-00 for Fermi 2 Power Plant, Division 1 Transformer 64 Load Tap Changer Failure Potentially Prohibited by Technical Specifications and Potential Loss of Safety Function"
ML25230A099,416-2025-003-00,05000416,2025-08-18,9064,"LER 2025-003-00 for Grand Gulf Nuclear Station, Unit 1, Manual Reactor Scram due to Degraded Main Condenser Vacuum caused by Circulating Water Pump Trip"
ML25224A176,352-2025-002-00,05000352,2025-08-12,11201,"LER 2025-002-00 for Limerick Generating Station, Unit 1, Loss of Power to the 1A Reactor Protection System resulted in Multiple Invalid Primary Containment Isolations"
ML25216A111,251-2025-03-00,05000251,2025-08-04,9211,"LER 2025-03-00 for Turkey Point, Unit 4, 4B Component Cooling Pump and its Associated Breaker Inoperable"
ML25210A397,321-2025-001-00,05000321,2025-07-29,9095,"LER 2025-001-00 for Edwin I. Hatch Nuclear Plant, Unit 1 High Pressure Coolant Injection System Inoperable"
ML25258A204,443-2025-01-00,05000443,2025-09-15,13614,"LER 2025-01-00 for Seabrook Station, Erratic Potentiometer Caused Upper Detector Flux Deviation Which Exceeded Technical Specification Allowed Outage Time"
ML25300A115,260-2025-003-01,05000260,2025-10-27,21031,"LER 2025-003-01 for Browns Ferry Nuclear Plant, Unit 2, Primary Containment Isolation and Manual Reactor Trip Due to Dual Recirculation Pump Trips"
ML25205A149,424-2025-001-00,05000424,2025-07-24,10256,"LER 2025-001-00 for Vogtle, Unit 1, Human Performance Error Results in Loss of Main Feedwater Pump and Manual Reactor Trip"
ML26029A457,499-2025-001-01,05000499,2026-01-29,20387,"LER 2025-001-01 for South Texas Project, Unit 2, Inoperable Essential Cooling Water Strainer could have prevented Fulfillment of a Safety Function and Resulted in Condition Prohibited by Technical Specifications"
ML25293A384,458-2025-002-01,05000458,2025-10-20,12613,"LER 2025-002-01, for River Bend Station, Unit 1, Unidentified Drywell Leakage Increase Results in Shutdown"
ML26037A200,254-2025-005-01,05000254,2026-02-06,27695,"LER 2025-005-01 For Quad Cities Nuclear Power Station, Unit 1, Scram Due to 125 VDC Voltage Fluctuations from Battery Cell Failure"
ML25195A123,260-2025-002-00,05000260,2025-07-14,22237,"LER 2025-002-00 for Browns Ferry Nuclear Plant, Unit 2, Residual Heat Removal Suppression Pool Spray Inoperable Due to Missing U-Bolt"
ML25252A080,260-2025-001-01,05000260,2025-09-09,24323,"LER 2025-001-01 for Browns Ferry Nuclear Plant, Unit 2, Reactor SCRAM due to Low Electro-Hydraulic Control Pressure"
ML25169A246,263-2025-003-00,05000263,2025-06-18,13289,"LER 2025-003-00 for Monticello Nuclear Generating Plant, Condition Prohibited by Technical Specifications for not implementing setpoint change of Primary Containment Isolation Valve"
ML25183A213,483-2025-002-00,05000483,2025-07-02,19606,"LER 2025-002-00 for Callaway, Unit 1, Reactor Vessel Bottom Head (RVBH) Bottom Mounted Instrument (BMI) Nozzle Pressure Boundary Leakage"
ML25182A246,483-2025-001-00,05000483,2025-07-01,23364,"LER 2025-001-00 for Callaway, Unit 1, Refueling Water Storage Tank Lowered Below TS 3.5.4 Limit"
ML25202A164,413-2025-002-00,05000413,2025-07-21,21308,"LER 2025-002-00 for Catawba Nuclear Station, Units 1 and 2, inoperability of 1 B Emergency Diesel Generator due to Fuel Oil Leak"
ML25149A137,382-2025-002-00,05000382,2025-05-29,13829,"LER 2025-002-00 for Waterford Steam Electric Station, Unit 3, Auxiliary Pressurizer Spray Train Inoperable Resulting in a Condition Prohibited by Technical Specifications"
ML25161A146,397-2025-001-00,05000397,2025-06-10,11242,"LER 2025-001-00 for Columbia, Pressure Boundary Leakage Resulting in a Technical Specification Required Plant Shutdown, Degraded Condition, and Condition Prohibited by Technical Specifications"
ML25160A203,382-2025-003-00,05000382,2025-06-09,14367,"LER 2025-003-00 for Waterford Steam Electric Station, Unit 3, Auxiliary Component Cooling Water Train Inoperable Resulting in a Condition Prohibited by Technical Specifications"
ML26027A361,528-2025-004-01,05000528,2026-01-27,13375,"LER 2025-004-01 for Palo Verde Nuclear Generating Station (PVNGS) Unit 1, Train A Emergency Diesel Generator Emergency Stop with System Actuation Supplement"
ML25157A104,298-2025-001-00,05000298,2025-06-06,20903,"LER 2025-001-00 for Cooper Nuclear Station, Inoperable Diesel Generator Jacket Water Pump Results in Condition Prohibited by Technical Specifications"
ML25156A246,458-2025-001-00,05000458,2025-06-05,10587,"LER 2025-001-00 for River Bend Station, Unit 1, Human Performance Error Results in Manual Reactor Trip"
ML25156A358,528-2025-003-00,05000528,2025-06-05,16848,"LER 2025-003-00 for Palo Verde Nuclear Generating Station (PVNGS), Unit 1, Specified System Actuation due to Loss of Power (LOP)/Load Shed (LS) Signal"
ML25155A098,254-2025-004-00,05000254,2025-06-04,17470,"LER 2025-004-00 for Quad Cities Nuclear Power Station, Unit 1, Loss of Suppression Chamber Vacuum Breaker Safety Function due to Configuration Control Error"
ML25266A239,339-2025-001-01,05000339,2025-09-23,11135,"LER 2025-001-01 for North Anna Power Station, Unit 2, Reactor Trip Breakers Opened due to High Vubes on 2-RC-P-1B"
ML25141A212,440-2025-001-00,05000440,2025-05-21,17249,"LER 2025-001-00 for Perry Nuclear Power Plant, Automatic Actuation of Division 3 Diesel Generator Resulting from Startup Transformer Testing"
ML25126A035,324-2025-001-00,05000324,2025-05-01,10793,"LER 2025-001-00 for Brunswick, Unit 2, Automatic Actuation of Containment Isolation Valves during Testing"
ML25142A400,528-2025-001-00,05000528,2025-05-22,16486,"LER 2025-001-00 for Palo Verde Nuclear Generating Station Unit 1, Unit 1 Loss of High Pressure Safety Injection Safety Function"
ML25143A119,382-2025-001-00,05000382,2025-05-23,13521,"LER 2025-001-00 for Waterford Steam Electric Station, Unit 3, Inoperability of Startup Transformer 'A' Results in a Condition Prohibited by Technical Specifications"
ML25143A260,366-2025-002-00,05000366,2025-05-23,12728,"LER 2025-002-00 for Edwin I. Hatch Nuclear Plant,  Unit 2, 2A Emergency Diesel Generator Inoperable Due to Inadvertent Overspeed Trip"
ML25143A135,364-2025-002-00,05000364,2025-05-23,12721,"LER 2025-002-00 for Joseph M. Farley Nuclear Plant, Unit 2, Two Pressurizer Safety Valves' Lift Pressure Outside of Technical Specifications Limits due to Setpoint Drift"
ML25135A102,315-2025-001-00,05000315,2025-05-15,13584,"LER 2025-001-00 for Donald C. Cook Nuclear Power Plant, Unit 1, Two Main Steam Safety Valves Failed Setpoint Testing"
ML25274A095,263-2025-001-01,05000263,2025-09-24,7289,"LER 2025-001-01 for Monticello Nuclear Generating Plant, Automatic Reactor Scrap on Low Water Level"
ML25133A192,416-2025-002-00,05000416,2025-05-13,8142,"LER 2025-002-00 for Grand Gulf Nuclear Station, Unit 1, Automatic Emergency Diesel Generator Actuation Caused by Grid Transient"
ML25174A283,251-2025-002-01,05000251,2025-06-20,9578,"LER 2025-002-01 for Turkey Point Unit 4, Emergency Diesel Generator Actuation"
ML25241A295,254-2025-003-01,05000254,2025-08-27,16583,"LER 2025-003-01 for Quad Cities Nuclear Power Station, Unit 1, Main Steam Isolation Valves Local Leak Rate Test Exceed Technical Specification Limits"
ML25143A173,251-2025-001-01,05000251,2025-05-23,9466,"LER 2025-001-01 for Turkey Point, Unit 4, Degraded Condition"
ML25295A315,251-2025-05-00,05000251,2025-10-22,12355,"LER 2025-05-00 for Turkey Point, Unit 4, 4A Main Steam Isolation Valve Failed to Fully Close resulting in Loss of Safety Function"
ML25107A275,366-2025-001-00,05000366,2025-04-17,10387,"LER 2025-001-00 for Edwin I. Hatch Nuclear Plant, Unit 2, Primary Containment Inoperable Due To Exceeding Technical Specification Allowable Leakage Limits"
ML25111A260,269-2025-001-00,05000269,2025-04-21,19922,"LER 2025-001-00 for Oconee Nuclear Station, Units 1, 2, and 3, Inoperability of Keowee Hydroelectric Unit due to Legacy Deficiencies in Generator Exceiter Speed Switch Calibration Procedure resulting in a Condition Prohibited by Technical Specifications"
ML25111A262,352--2025-001-00,05000352,2025-04-21,12276,"LER 2025-001-00 for Limerick Generating Station, Unit 1, Bypass Leakage on the B Train of Standby Gas Treatment System HEPA Filters Exceeded Technical Specification Value"
